brand,price,processor,Ram,ROM,display_size,OS
HP,49990,5th Gen AMD Ryzen 7   5700U,16.0,512.0,15.6,Windows 11 OS
HP,72990,13th Gen Intel Core i5 1340p,16.0,512.0,15.6,Windows 11 OS
Lenovo,52101,11th Gen Intel Core i7 1165G7,16.0,512.0,15.6,Windows 11 OS
Infinix,28990,11th Gen Intel Core i3  1115G4,8.0,512.0,14.0,Windows 11 OS
HP,69490,12th Gen Intel Core i7 1255U,16.0,512.0,15.6,Windows 11 OS
Acer,39965,13th Gen Intel Core i3 1315U,8.0,512.0,15.6,Windows 11 OS
Acer,54990,13th Gen Intel Core i5 1335U,16.0,512.0,14.0,Windows 11 OS
Asus,46999,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Asus,83990,13th Gen Intel Core i5 13500H,16.0,512.0,15.6,Windows 11 OS
HP,51499,5th Gen AMD Ryzen 5  5600H ,8.0,512.0,15.6,Windows 11 OS
Dell,50990,5th Gen AMD Ryzen 5 5625U,16.0,512.0,14.0,Windows 11 OS
HP,23990,Intel Celeron  N4500,4.0,128.0,15.6,Chrome OS
Acer,27990,7th Gen AMD Ryzen 3 7320U,8.0,512.0,15.6,Windows 11 OS
HP,79990,13th Gen Intel Core i5 1335U,16.0,1024.0,14.0,Windows 11 OS
Samsung,84390,13th Gen Intel Core i7 1355U,16.0,512.0,15.6,Windows 11 OS
Infinix,24990,10th Gen Intel Core i3 1005G1,8.0,256.0,15.6,Windows 11 OS
Samsung,281990,13th Gen Intel Core i9 13900H,32.0,1024.0,16.0,Windows 11 OS
Lenovo,26590,AMD Athlon 7120U,8.0,512.0,15.6,Windows 11 OS
Infinix,37990,11th Gen Intel Core i5 1155G7,16.0,1024.0,14.0,Windows 11 OS
Asus,71189,6th Gen AMD Ryzen 7 6800H,16.0,512.0,15.6,Windows 11 OS
HP,85999,7th Gen AMD Ryzen 7 7840HS,16.0,512.0,16.1,Windows 11 OS
Lenovo,93990,7th Gen AMD Ryzen 7 7735U,16.0,1024.0,14.0,Windows 11 OS
Asus,84990,12th Gen Intel Core i5 12500H,16.0,512.0,14.0,Windows 11 OS
Dell,44190,13th Gen Intel Core i3 1305U,8.0,1024.0,15.6,Windows 11 OS
Acer,159990,13th Gen Intel Core i9 13900HX,16.0,1024.0,16.0,Windows 11 OS
HP,52990,5th Gen AMD Ryzen 5 5600H,16.0,512.0,15.6,Windows 11 OS
Acer,39990,11th Gen Intel Core i5 1155G7,8.0,512.0,15.6,Windows 11 OS
Dell,73990,13th Gen Intel Core i5 1335U,16.0,1024.0,14.0,Windows 11 OS
Lenovo,57500,11th Gen Intel Core i5 11320H,16.0,512.0,15.6,Windows 11 OS
Asus,59990,5th Gen AMD Ryzen 5 5600HS,8.0,512.0,15.6,Windows 11 OS
Acer,53990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
Asus,33990,11th Gen Intel Core i3 1115G4,8.0,512.0,14.0,Windows 11 OS
Dell,75990,13th Gen Intel Core i5 1340P,16.0,512.0,16.0,Windows 11 OS
Apple,144990,Apple M2,8.0,512.0,15.3,Mac OS
Asus,60539,12th Gen Intel Core i5 12500H ,16.0,512.0,15.6,Windows 11 OS
Asus,56990,5th Gen AMD Ryzen 7 5800H,16.0,512.0,15.6,Windows OS
HP,75533,13th Gen Intel Core i5 1340p,16.0,512.0,15.6,Windows 11 OS
Dell,74990,13th Gen Intel Core i5 13450HX,8.0,512.0,15.6,Windows 11 OS
Asus,94990,7th Gen AMD Ryzen 7 7735HS,16.0,512.0,15.6,Windows 11 OS
Asus,179990,13th Gen Intel Core i9 13980HX,16.0,1024.0,16.0,Windows 11 OS
Asus,77990,12th Gen Intel Core i5 12450H,16.0,512.0,16.0,Windows 11 OS
HP,37990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
HP,62990,13th Gen Intel Core i5 1335U,16.0,512.0,15.6,Windows 11 OS
Acer,129999,13th Gen Intel Core i7 13700HX,16.0,1024.0,16.0,Windows 11 OS
HP,52990,5th Gen AMD Ryzen 5 5625U,8.0,512.0,15.6,Windows 11 OS
Acer,104990,13th Gen Intel Core i7 13700HX,16.0,512.0,16.0,Windows 11 OS
Realme,47999,11th Gen Intel Core i5 11320H,8.0,512.0,14.0,Windows 11 OS
Acer,114499,13th Gen Intel Core i7 13700HX,16.0,1024.0,16.0,Windows 11 OS
HP,49990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Asus,39990,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Acer,68990,7th Gen AMD Ryzen 5 7535HS,16.0,512.0,15.6,Windows 11 OS
Acer,79990,7th Gen AMD Ryzen 7 7735HS,16.0,512.0,15.6,Windows 11 OS
